s,epsilon,epsilon_plus_alpha_s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,dlnY_dz_kappa_0,dlnY_dz_kappa_0_5,dlnY_dz_kappa_1,dlnR_dz_kappa_0,dlnR_dz_kappa_0_5,dlnR_dz_kappa_1,sign_region_kappa_0,sign_region_kappa_0_5,sign_region_kappa_1,peak_s_kappa_0,peak_s_kappa_0_5,peak_s_kappa_1,peak_lambda_kappa_0,peak_lambda_kappa_0_5,peak_lambda_kappa_1
0.1340000000,0.1000000000,0.1469000000,0.1696246047,0.1116477943,0.0508349118,-0.0696246047,-0.0116477943,0.0491650882,-0.0227246047,0.0352522057,0.0960650882,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1360000000,0.1000000000,0.1476000000,0.1715915124,0.1129800171,0.0514594595,-0.0715915124,-0.0129800171,0.0485405405,-0.0239915124,0.0346199829,0.0961405405,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1380000000,0.1000000000,0.1483000000,0.1735429229,0.1143028460,0.0520801401,-0.0735429229,-0.0143028460,0.0479198599,-0.0252429229,0.0339971540,0.0962198599,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1400000000,0.1000000000,0.1490000000,0.1754788816,0.1156162992,0.0526969571,-0.0754788816,-0.0156162992,0.0473030429,-0.0264788816,0.0333837008,0.0963030429,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1420000000,0.1000000000,0.1497000000,0.1773994334,0.1169203944,0.0533099137,-0.0773994334,-0.0169203944,0.0466900863,-0.0276994334,0.0327796056,0.0963900863,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1440000000,0.1000000000,0.1504000000,0.1793046232,0.1182151498,0.0539190135,-0.0793046232,-0.0182151498,0.0460809865,-0.0289046232,0.0321848502,0.0964809865,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1460000000,0.1000000000,0.1511000000,0.1811944955,0.1195005832,0.0545242597,-0.0811944955,-0.0195005832,0.0454757403,-0.0300944955,0.0315994168,0.0965757403,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1480000000,0.1000000000,0.1518000000,0.1830690949,0.1207767124,0.0551256558,-0.0830690949,-0.0207767124,0.0448743442,-0.0312690949,0.0310232876,0.0966743442,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1500000000,0.1000000000,0.1525000000,0.1849284657,0.1220435553,0.0557232050,-0.0849284657,-0.0220435553,0.0442767950,-0.0324284657,0.0304564447,0.0967767950,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1520000000,0.1000000000,0.1532000000,0.1867726520,0.1233011297,0.0563169108,-0.0867726520,-0.0233011297,0.0436830892,-0.0335726520,0.0298988703,0.0968830892,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1540000000,0.1000000000,0.1539000000,0.1886016978,0.1245494532,0.0569067765,-0.0886016978,-0.0245494532,0.0430932235,-0.0347016978,0.0293505468,0.0969932235,both_fall,only_real_income_rises,both_rise,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
