kappa,lambda_at_sbar,dlnY_dz,dlnR_dz,sbar,kappa_R_star,kappa_Y_star
0.6880000000,0.1398533373,-0.0398533373,0.0476466627,0.2500000000,0.4233766234,0.9003322259
0.6900000000,0.1394848447,-0.0394848447,0.0480151553,0.2500000000,0.4233766234,0.9003322259
0.6920000000,0.1391162234,-0.0391162234,0.0483837766,0.2500000000,0.4233766234,0.9003322259
0.6940000000,0.1387474732,-0.0387474732,0.0487525268,0.2500000000,0.4233766234,0.9003322259
0.6960000000,0.1383785942,-0.0383785942,0.0491214058,0.2500000000,0.4233766234,0.9003322259
0.6980000000,0.1380095863,-0.0380095863,0.0494904137,0.2500000000,0.4233766234,0.9003322259
0.7000000000,0.1376404494,-0.0376404494,0.0498595506,0.2500000000,0.4233766234,0.9003322259
0.7020000000,0.1372711835,-0.0372711835,0.0502288165,0.2500000000,0.4233766234,0.9003322259
0.7040000000,0.1369017884,-0.0369017884,0.0505982116,0.2500000000,0.4233766234,0.9003322259
0.7060000000,0.1365322641,-0.0365322641,0.0509677359,0.2500000000,0.4233766234,0.9003322259
0.7080000000,0.1361626106,-0.0361626106,0.0513373894,0.2500000000,0.4233766234,0.9003322259
0.7100000000,0.1357928277,-0.0357928277,0.0517071723,0.2500000000,0.4233766234,0.9003322259
0.7120000000,0.1354229154,-0.0354229154,0.0520770846,0.2500000000,0.4233766234,0.9003322259
0.7140000000,0.1350528737,-0.0350528737,0.0524471263,0.2500000000,0.4233766234,0.9003322259
0.7160000000,0.1346827024,-0.0346827024,0.0528172976,0.2500000000,0.4233766234,0.9003322259
0.7180000000,0.1343124015,-0.0343124015,0.0531875985,0.2500000000,0.4233766234,0.9003322259
0.7200000000,0.1339419710,-0.0339419710,0.0535580290,0.2500000000,0.4233766234,0.9003322259
0.7220000000,0.1335714107,-0.0335714107,0.0539285893,0.2500000000,0.4233766234,0.9003322259
0.7240000000,0.1332007206,-0.0332007206,0.0542992794,0.2500000000,0.4233766234,0.9003322259
0.7260000000,0.1328299006,-0.0328299006,0.0546700994,0.2500000000,0.4233766234,0.9003322259
0.7280000000,0.1324589507,-0.0324589507,0.0550410493,0.2500000000,0.4233766234,0.9003322259
0.7300000000,0.1320878708,-0.0320878708,0.0554121292,0.2500000000,0.4233766234,0.9003322259
0.7320000000,0.1317166608,-0.0317166608,0.0557833392,0.2500000000,0.4233766234,0.9003322259
0.7340000000,0.1313453207,-0.0313453207,0.0561546793,0.2500000000,0.4233766234,0.9003322259
0.7360000000,0.1309738503,-0.0309738503,0.0565261497,0.2500000000,0.4233766234,0.9003322259
0.7380000000,0.1306022497,-0.0306022497,0.0568977503,0.2500000000,0.4233766234,0.9003322259
0.7400000000,0.1302305187,-0.0302305187,0.0572694813,0.2500000000,0.4233766234,0.9003322259
0.7420000000,0.1298586572,-0.0298586572,0.0576413428,0.2500000000,0.4233766234,0.9003322259
0.7440000000,0.1294866653,-0.0294866653,0.0580133347,0.2500000000,0.4233766234,0.9003322259
0.7460000000,0.1291145429,-0.0291145429,0.0583854571,0.2500000000,0.4233766234,0.9003322259
0.7480000000,0.1287422898,-0.0287422898,0.0587577102,0.2500000000,0.4233766234,0.9003322259
0.7500000000,0.1283699060,-0.0283699060,0.0591300940,0.2500000000,0.4233766234,0.9003322259
