s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.1180000000,0.1533259706,0.1006496515,0.0456989085,0.1000000000,0.1413000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1200000000,0.1554185022,0.1020576805,0.0463545151,0.1000000000,0.1420000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1220000000,0.1574951689,0.1034561696,0.0470062273,0.1000000000,0.1427000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1240000000,0.1595560174,0.1048451372,0.0476540486,0.1000000000,0.1434000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1260000000,0.1616010941,0.1062246017,0.0482979825,0.1000000000,0.1441000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1280000000,0.1636304452,0.1075945814,0.0489380324,0.1000000000,0.1448000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1300000000,0.1656441168,0.1089550946,0.0495742016,0.1000000000,0.1455000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1320000000,0.1676421547,0.1103061595,0.0502064936,0.1000000000,0.1462000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1340000000,0.1696246047,0.1116477943,0.0508349118,0.1000000000,0.1469000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1360000000,0.1715915124,0.1129800171,0.0514594595,0.1000000000,0.1476000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1380000000,0.1735429229,0.1143028460,0.0520801401,0.1000000000,0.1483000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1400000000,0.1754788816,0.1156162992,0.0526969571,0.1000000000,0.1490000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1420000000,0.1773994334,0.1169203944,0.0533099137,0.1000000000,0.1497000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1440000000,0.1793046232,0.1182151498,0.0539190135,0.1000000000,0.1504000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1460000000,0.1811944955,0.1195005832,0.0545242597,0.1000000000,0.1511000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1480000000,0.1830690949,0.1207767124,0.0551256558,0.1000000000,0.1518000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1500000000,0.1849284657,0.1220435553,0.0557232050,0.1000000000,0.1525000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1520000000,0.1867726520,0.1233011297,0.0563169108,0.1000000000,0.1532000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1540000000,0.1886016978,0.1245494532,0.0569067765,0.1000000000,0.1539000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1560000000,0.1904156468,0.1257885436,0.0574928055,0.1000000000,0.1546000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1580000000,0.1922145427,0.1270184184,0.0580750010,0.1000000000,0.1553000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1600000000,0.1939984289,0.1282390953,0.0586533666,0.1000000000,0.1560000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1620000000,0.1957673488,0.1294505918,0.0592279054,0.1000000000,0.1567000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
