z,c,G_E,G_L,platform_interval_width
0.5,1.00625,0.9962425519366085,2.3002971191022556,1.3040545671656472
0.5,1.0075,1.0051274925477613,2.31387624360679,1.3087487510590285
0.5,1.00875,1.0140045459491656,2.3274412363649875,1.313436690415822
0.5,1.01,1.022873726131447,2.3409921273656105,1.3181184012341636
0.5,1.01125,1.0317350470480229,2.354528946500401,1.322793899452378
0.5,1.0125,1.0405885226152667,2.368051723564471,1.3274632009492042
0.5,1.01375,1.049434166712607,2.381560488256765,1.332126321544158
0.5,1.0150000000000001,1.0582719931826863,2.3950552701804444,1.3367832769977581
0.5,1.01625,1.0671020158314686,2.4085360988433187,1.34143408301185
0.5,1.0175,1.0759242484283766,2.422003003658271,1.3460787552298945
0.5,1.01875,1.0847387047064354,2.4354560139436496,1.3507173092372142
0.5,1.02,1.0935453983623695,2.4488951589236976,1.355349760561328
0.5,1.02125,1.1023443430567643,2.4623204677289436,1.3599761246721793
0.5,1.0225,1.1111355524141648,2.4757319693966258,1.364596416982461
0.5,1.02375,1.1199190400232248,2.489129692871076,1.3692106528478514
0.5,1.0250000000000001,1.128694819436817,2.5025136670041412,1.3738188475673243
0.5,1.02625,1.1374629041721596,2.5158839205555648,1.3784210163834052
0.5,1.0275,1.1462233077109603,2.52924048219339,1.3830171744824296
0.5,1.02875,1.1549760434995098,2.5425833804943707,1.387607336994861
0.5,1.03,1.1637211249488362,2.5559126439443323,1.392191518995496
0.5,1.03125,1.1724585654348025,2.5692283009385957,1.3967697355037931
0.5,1.0325,1.1811883782982526,2.582530379782334,1.4013420014840812
0.5,1.03375,1.1899105768451097,2.5958189086909913,1.4059083318458816
0.5,1.035,1.198625174346521,2.609093915790636,1.4104687414441148
0.5,1.0362500000000001,1.207332184038962,2.6223554291183726,1.4150232450794107
0.5,1.0375,1.216031619124361,2.635603476622693,1.419571857498332
0.5,1.03875,1.224723492770231,2.6488380861638765,1.4241145933936454
0.5,1.04,1.2334078181097683,2.6620592855143577,1.4286514674045894
0.5,1.04125,1.2420846082419945,2.6752671023590953,1.4331824941171007
0.5,1.0425,1.2507538762318515,2.6884615642959613,1.4377076880641098
0.5,1.04375,1.2594156351103434,2.7016426988360855,1.4422270637257422
0.5,1.045,1.26806989787463,2.714810533404252,1.4467406355296217
0.5,1.0462500000000001,1.2767166774881693,2.727965095339239,1.4512484178510696
0.5,1.0475,1.2853559868808107,2.741106411894197,1.4557504250133861
0.5,1.04875,1.2939878389489206,2.754234510237016,1.4602466712880955
0.5,1.05,1.3026122465555077,2.7673494174506694,1.4647371708951618
0.5,1.05125,1.3112292225303177,2.780451160533591,1.4692219380032734
0.5,1.0525,1.31983877966997,2.7935397664000137,1.4737009867300437
0.5,1.05375,1.3284409307380467,2.8066152618803373,1.4781743311422906
0.5,1.055,1.337035688465235,2.819677673721471,1.482641985256236
0.5,1.0562500000000001,1.3456230655494141,2.8327270285871995,1.4871039630377854
0.5,1.0575,1.3542030746557803,2.8457633530585102,1.49156027840273
0.5,1.05875,1.362775728416965,2.8587866736339547,1.4960109452169896
0.5,1.06,1.3713410394331265,2.871797016729998,1.5004559772968717
0.5,1.06125,1.3798990202720882,2.8847944086813464,1.5048953884092582
0.5,1.0625,1.3884496834694209,2.8977788757413054,1.5093291922718846
0.5,1.06375,1.3969930415285774,2.9107504440821033,1.5137574025535259
0.5,1.065,1.4055291069209814,2.923709139795248,1.5181800328742665
0.5,1.06625,1.4140578920861586,2.936654988891842,1.5225970968056834
0.5,1.0675000000000001,1.4225794094318225,2.94958801730294,1.5270086078711174
0.5,1.06875,1.4310936713339966,2.962508250879856,1.5314145795458596
0.5,1.07,1.4396006901371265,2.975415715394515,1.5358150252573886
0.5,1.07125,1.44810047815417,2.988310436539778,1.540209958385608
0.5,1.0725,1.456593047666725,3.001192439929759,1.5445993922630339
0.5,1.07375,1.465078410925112,3.0140617511001655,1.5489833401750535
0.5,1.075,1.4735565801485084,3.026918395508607,1.5533618153600985
0.5,1.07625,1.4820275675250254,3.0397623985349354,1.55773483100991
0.5,1.0775000000000001,1.4904913852118387,3.0525937854815495,1.5621024002697108
0.5,1.07875,1.4989480453352726,3.065412581573717,1.5664645362384444
0.5,1.08,1.5073975599909128,3.0782188119599048,1.570821251968992
0.5,1.08125,1.5158399412437202,3.0910125017120764,1.5751725604683562
0.5,1.0825,1.5242752011281109,3.1037936758260263,1.5795184746979154
0.5,1.08375,1.5327033516480844,3.1165623592216667,1.5838590075735823
