scenario,z,G,nominal_effect,real_effect,nominal_income,real_income,regime
no_consumer_capture_gap,0.5,0.43,0.15245501890126353,0.4203708129688112,4.351944190943591,4.64772577498122,P
no_consumer_capture_gap,0.5,0.44,0.15589588722345715,0.4238116812910048,4.364907895123892,4.661570562371509,P
no_consumer_capture_gap,0.5,0.45,0.1593547744743639,0.4272705685419116,4.3779496153433435,4.675498668191472,P
no_consumer_capture_gap,0.5,0.46,0.16283167299235304,0.43074746705990075,4.391069821105281,4.689510593854424,P
no_consumer_capture_gap,0.5,0.47000000000000003,0.16632657446701168,0.43424236853455933,4.4042689847385335,4.703606843791205,P
no_consumer_capture_gap,0.5,0.48,0.16983946993972288,0.43775526400727055,4.417547581414413,4.717787925468331,P
no_consumer_capture_gap,0.5,0.49,0.17337034980431495,0.4412861438718626,4.430906089163835,4.732054349406274,P
no_consumer_capture_gap,0.5,0.5,0.17691920380777948,0.44483499787532715,4.444344988894522,4.746406629197841,P
no_consumer_capture_gap,0.5,0.51,0.18048602105106,0.44840181511860766,4.457864764408314,4.760845281526649,P
no_consumer_capture_gap,0.5,0.52,0.18407078998990972,0.4519865840574574,4.4714659024185925,4.775370826185745,P
no_consumer_capture_gap,0.5,0.53,0.1876734984358195,0.4555892925033672,4.485148892567793,4.789983786096306,P
no_consumer_capture_gap,0.5,0.54,0.1912941335570142,0.45920992762456186,4.498914227445039,4.804684687326464,P
no_consumer_capture_gap,0.5,0.55,0.1949326818795194,0.4628484759470671,4.5127624026038715,4.819474059110252,P
no_consumer_capture_gap,0.5,0.56,0.19858912928829614,0.4665049233558438,4.5266939165800935,4.834352433866652,P
no_consumer_capture_gap,0.5,0.5700000000000001,0.202263461028445,0.4701792550959927,4.540709270909712,4.849320347218763,P
no_consumer_capture_gap,0.5,0.58,0.2059556617064788,0.47387145577402645,4.554808970146996,4.864378338013079,P
no_consumer_capture_gap,0.5,0.59,0.20966571529166317,0.47758150935921084,4.568993521882643,4.879526948338899,P
no_consumer_capture_gap,0.5,0.6,0.21339360511742614,0.48130939918497384,4.583263436762045,4.894766723547828,P
no_consumer_capture_gap,0.5,0.61,0.21713931388283458,0.48505510795038226,4.59761922850368,4.910098212273421,P
no_consumer_capture_gap,0.5,0.62,0.22090282365413924,0.4888186177216869,4.6120614139175995,4.925521966450924,P
no_consumer_capture_gap,0.5,0.63,0.22468411586638626,0.49259990993393393,4.626590512924041,4.94103854133716,P
no_consumer_capture_gap,0.5,0.64,0.22848317132509655,0.4963989653926442,4.641207048572135,4.956648495530495,P
no_consumer_capture_gap,0.5,0.65,0.23229997020801102,0.5002157642755587,4.6559115470587455,4.972352390990968,P
